nuclear,coal,gas,phs,others,solar,wind,hydro,ocean,bio,fuelcell,IGCC,ammonia,hydrogen,ESS
47.78,126.98,208.11,103.55,35.8,138.89,349.64,33.62,505.94,46.38,215.22,119.07,,,inf
48.39,119.85,171.21,103.95,35.97,131.18,338.37,33.68,494.89,43.6,161.13,111.18,,,inf
49.19,123.34,177.38,104.34,36.1,126.34,308.68,33.97,489.94,43.65,165.63,114.03,,,inf
49.92,126.95,183.91,104.74,36.26,121.66,307.6,34.13,484.6,43.94,170.28,116.9,,,inf
50.65,130.69,190.75,105.14,36.4,118.18,289.72,34.29,478.95,44.11,175.12,119.86,,,inf
51.38,134.54,197.98,105.54,36.89,114.65,281.99,34.4,477.49,44.28,180.08,122.82,,,inf
52.1,138.53,205.66,105.93,37.03,112.8,253.08,34.65,472.6,44.45,185.34,126.04,,,inf
52.82,142.67,213.81,106.82,37.17,110.55,231.41,34.82,469.49,44.62,190.72,129.29,313.32,241.24,inf
53.6,146.63,224.36,107.22,37.35,108.16,209.08,35.1,463.46,44.79,196.09,132.63,307.17,241.69,inf
54.65,150.71,236.42,108.25,37.49,105.27,197.65,35.18,461.94,44.96,201.78,136.01,301.09,243.56,inf
55.71,154.92,250.4,108.65,37.94,103.43,189.62,35.45,458.38,45.13,207.77,139.65,295.01,247.4,inf
56.48,159.27,267.42,109.8,38.08,102.89,189.13,35.55,457.05,45.3,213.9,143.32,288.98,254.22,inf
57.25,163.76,288.94,110.19,38.31,101.69,186.47,35.72,455.71,45.47,220.72,147.11,282.95,265.83,inf
58.03,168.39,318.53,110.59,38.45,100.04,184.55,35.81,453.93,45.52,227.77,150.94,276.97,285.9,inf
59.14,172.48,325.84,110.99,38.59,92.68,170.94,35.96,452.27,45.69,234.46,154.97,270.38,281.91,inf
60.27,176.7,333.38,111.39,38.73,87.37,164.16,36.1,450.65,45.86,241.36,159.13,263.77,277.91,inf
61.4,181.05,341.15,111.78,38.87,82.52,157.69,36.25,449.06,46.03,248.48,163.43,257.13,273.93,inf
62.55,185.54,349.18,112.18,39.0,78.08,151.51,36.4,447.5,46.2,255.82,167.86,250.49,269.95,inf
63.48,187.35,352.79,112.58,39.14,74.01,145.6,36.55,445.98,46.37,258.71,169.6,247.26,268.44,inf
64.43,189.17,356.49,112.97,39.28,70.27,139.96,36.7,444.49,46.54,261.63,171.36,244.02,266.93,inf
65.37,191.01,360.29,113.37,39.42,66.82,134.57,36.85,443.04,46.71,264.58,173.14,240.78,265.42,inf
66.33,192.88,364.24,113.77,39.56,63.63,129.42,37.0,441.61,46.88,267.58,174.94,237.55,263.92,inf
67.27,194.76,368.39,114.16,39.7,60.68,124.49,37.15,440.22,47.05,270.6,176.76,234.3,262.42,inf
68.22,196.66,372.74,114.56,39.83,57.94,119.78,37.3,438.86,47.22,273.66,178.6,231.06,260.92,inf
69.17,198.59,377.18,114.96,39.97,55.39,115.27,37.45,437.53,47.38,276.75,180.47,227.81,259.41,inf
70.12,200.56,382.02,115.36,40.11,53.02,110.95,37.59,436.23,47.55,279.89,182.36,224.57,257.91,inf
71.08,202.56,387.1,115.75,40.25,50.8,106.82,37.74,434.96,47.72,283.06,184.27,221.33,256.41,inf
72.03,,,116.15,40.39,48.73,102.87,37.89,433.71,47.89,286.27,186.2,218.07,254.91,inf
